price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_surface_house,bathrooms,heating_type,terrace_surface_apartment,land_surface_house,sewer_connection,running_water,primary_energy_consumption,co2_house,certification_electrical_installation,preemption_right,flooding_area_type,leased,living_room_surface,attic_house,glazing_type,elevator,entry_phone_apartment,access_disabled,apartement_floor_apartment,number_floors_apartment,toilets,cadastral_income_house,property_subtype,postal_code,locality,property_type,price_per_m2,cluster,luxury_segment,is_luxurious
245000.0,1.0,61.0,2,-1.0,0,0,0,-1,3,-1.0,-1,-1,-1.0,1.0,4,-1.0,-1.0,-1,1,175.0,-1.0,1,-1,1,-1,-1.0,-1.0,1,0.0,1.0,1,1.0,3.0,-1.0,-1.0,apartment,2000,antwerp,Apartment,4016.3934426229507,1.0,0,False
359000.0,2.0,70.0,-1,-1.0,-1,1,0,-1,-1,2016.0,-1,-1,-1.0,1.0,3,6.0,-1.0,-1,-1,100.0,-1.0,-1,-1,1,0,-1.0,-1.0,1,1.0,-1.0,0,3.0,-1.0,1.0,-1.0,apartment,2000,antwerp,Apartment,5128.571428571428,1.0,0,False
274900.0,2.0,80.0,2,-1.0,0,0,1,-1,-1,1949.0,-1,1,-1.0,1.0,3,-1.0,-1.0,-1,-1,103.0,-1.0,1,-1,0,0,-1.0,-1.0,-1,0.0,-1.0,-1,-1.0,3.0,1.0,597.0,ground floor,2100,deurne,Apartment,3436.25,1.0,0,False
215000.0,2.0,107.0,-1,-1.0,-1,1,0,-1,-1,1974.0,-1,1,-1.0,1.0,-1,18.0,-1.0,-1,-1,0.0,-1.0,-1,0,1,0,-1.0,-1.0,1,1.0,-1.0,0,5.0,-1.0,1.0,-1.0,apartment,2140,antwerp,Apartment,2009.3457943925234,1.0,0,False
219000.0,2.0,64.0,2,2.0,0,1,0,-1,-1,1965.0,-1,-1,-1.0,1.0,3,2.0,-1.0,-1,1,345.0,-1.0,1,1,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,5.0,5.0,1.0,629.0,apartment,2060,antwerp,Apartment,3421.875,1.0,0,False
325000.0,2.0,105.0,-1,-1.0,0,1,0,-1,-1,1960.0,-1,-1,-1.0,1.0,3,3.0,-1.0,-1,1,121.0,-1.0,1,0,1,0,25.0,-1.0,-1,0.0,-1.0,-1,3.0,-1.0,1.0,669.0,apartment,2050,antwerp,Apartment,3095.2380952380954,1.0,0,False
519000.0,2.0,125.0,-1,-1.0,-1,1,0,-1,-1,1961.0,-1,-1,-1.0,2.0,-1,20.0,-1.0,-1,-1,0.0,-1.0,-1,0,1,0,-1.0,-1.0,1,1.0,-1.0,0,-1.0,-1.0,1.0,-1.0,apartment,2600,berchem,Apartment,4152.0,1.0,0,False
310000.0,1.0,55.0,2,2.0,0,1,0,-1,-1,-1.0,-1,-1,-1.0,1.0,3,3.0,-1.0,-1,1,107.0,-1.0,1,0,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,1.0,2.0,1.0,-1.0,apartment,2018,antwerp,Apartment,5636.363636363636,1.0,0,False
299000.0,1.0,66.0,2,2.0,0,1,0,-1,-1,1946.0,-1,-1,-1.0,1.0,3,12.0,-1.0,-1,1,185.0,-1.0,1,0,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,-1.0,4.0,-1.0,951.0,apartment,2000,antwerp,Apartment,4530.30303030303,1.0,0,False
275000.0,2.0,85.0,0,2.0,0,1,0,-1,-1,-1.0,-1,-1,-1.0,1.0,3,2.0,-1.0,-1,-1,209.0,-1.0,0,0,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,2.0,2.0,-1.0,-1.0,apartment,2000,antwerp,Apartment,3235.294117647059,1.0,0,False
239000.0,2.0,106.0,2,2.0,0,1,0,-1,-1,1992.0,-1,1,-1.0,1.0,3,-1.0,-1.0,-1,1,120.0,-1.0,0,1,-1,0,-1.0,-1.0,-1,0.0,-1.0,-1,2.0,4.0,-1.0,1212.0,apartment,2060,antwerp,Apartment,2254.7169811320755,1.0,0,False
144000.0,1.0,32.0,2,2.0,0,1,0,-1,-1,1965.0,-1,-1,-1.0,1.0,3,2.0,-1.0,-1,1,309.0,-1.0,1,0,1,0,-1.0,-1.0,-1,1.0,-1.0,-1,1.0,4.0,1.0,632.0,studio,2018,antwerp,Apartment,4500.0,1.0,0,False
265000.0,3.0,120.0,-1,-1.0,-1,1,0,-1,-1,1988.0,-1,1,-1.0,1.0,3,15.0,-1.0,-1,-1,-1.0,-1.0,-1,0,1,0,-1.0,-1.0,1,1.0,-1.0,0,3.0,8.0,2.0,-1.0,apartment,2100,deurne,Apartment,2208.3333333333335,1.0,0,False
274000.0,1.0,83.0,-1,-1.0,-1,1,0,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,-1,183.0,-1.0,-1,0,1,0,-1.0,-1.0,-1,0.0,-1.0,0,3.0,-1.0,-1.0,-1.0,apartment,2000,antwerp,Apartment,3301.2048192771085,1.0,0,False
359000.0,2.0,74.0,4,-1.0,1,1,0,-1,-1,2018.0,-1,-1,-1.0,1.0,-1,17.0,-1.0,-1,-1,67.0,-1.0,1,-1,0,0,35.0,-1.0,-1,1.0,-1.0,-1,4.0,-1.0,1.0,-1.0,apartment,2050,antwerp,Apartment,4851.351351351352,1.0,0,False
176000.0,1.0,65.0,2,2.0,0,1,0,-1,-1,1967.0,-1,-1,-1.0,1.0,2,3.0,-1.0,-1,1,160.0,-1.0,-1,0,1,0,-1.0,-1.0,-1,1.0,-1.0,-1,8.0,17.0,1.0,-1.0,apartment,2610,wilrijk,Apartment,2707.6923076923076,1.0,0,False
425000.0,3.0,143.0,-1,2.0,0,1,0,-1,-1,-1.0,-1,1,-1.0,1.0,3,6.0,-1.0,-1,-1,155.0,-1.0,0,-1,0,0,-1.0,-1.0,-1,1.0,-1.0,-1,3.0,3.0,2.0,-1.0,apartment,2600,berchem,Apartment,2972.027972027972,1.0,0,False
460000.0,2.0,98.0,-1,-1.0,-1,1,0,-1,-1,-1.0,-1,-1,-1.0,1.0,3,5.0,-1.0,-1,-1,88.0,-1.0,-1,-1,1,0,-1.0,-1.0,1,0.0,-1.0,0,3.0,5.0,-1.0,-1.0,apartment,2000,antwerp,Apartment,4693.877551020408,1.0,0,False
