Postal Code;Special code;Submunicipality code;R?gion code;Province code;Arrondissement code;Municipality code;ISO 3166-3 Area code;Official language or language combination;Sub-municipality name (French);Sub-municipality name (Dutch);Sub-municipality name (German);R?gion name (German);R?gion name (Dutch);R?gion name (French);Province name (German);Province name (Dutch);Province name (French);Arrondissement name (German);Arrondissement name (Dutch);Arrondissement name (French);Municipality name (German);Municipality name (Dutch);Municipality name (French);sub_municipaliti_name_maj
1500;0;23027A;2000;20001;23000;23027;BEL;NL;;Halle;;;Vlaams Gewest;R?gion flamande;;Vlaams-Brabant;Brabant flamand (le);;Halle-Vilvoorde;Hal-Vilvorde;;Halle;;
1501;0;23027B;2000;20001;23000;23027;BEL;NL;;Buizingen;;;Vlaams Gewest;R?gion flamande;;Vlaams-Brabant;Brabant flamand (le);;Halle-Vilvoorde;Hal-Vilvorde;;Halle;;
1502;0;23027C;2000;20001;23000;23027;BEL;NL;;Lembeek;;;Vlaams Gewest;R?gion flamande;;Vlaams-Brabant;Brabant flamand (le);;Halle-Vilvoorde;Hal-Vilvorde;;Halle;
1540;0;23032A;2000;20001;23000;23032;BEL;NL;;Herne;;;Vlaams Gewest;R?gion flamande;;Vlaams-Brabant;Brabant flamand (le);;Halle-Vilvoorde;Hal-Vilvorde;;Herne;
1541;0;23032C;2000;20001;23000;23032;BEL;NL;;Sint-Pieters-Kapelle;;;Vlaams Gewest;R?gion flamande;;Vlaams-Brabant;Brabant flamand (le);;Halle-Vilvoorde;Hal-Vilvorde;;Herne;
1547;0;23009A;2000;20001;23000;23009;BEL;NL-fr;;Bever;;;Vlaams Gewest;R?gion flamande;;Vlaams-Brabant;Brabant flamand (le);;Halle-Vilvoorde;Hal-Vilvorde;;Bever;Bi?v?ne
1560;0;23033A;2000;20001;23000;23033;BEL;NL;;Hoeilaart;;;Vlaams Gewest;R?gion flamande;;Vlaams-Brabant;Brabant flamand (le);;Halle-Vilvoorde;Hal-Vilvorde;;Hoeilaart;
1570;0;23023C;2000;20001;23000;23023;BEL;NL;;Tollembeek;;;Vlaams Gewest;R?gion flamande;;Vlaams-Brabant;Brabant flamand (le);;Halle-Vilvoorde;Hal-Vilvorde;;Galmaarden;
1600;0;23077A;2000;20001;23000;23077;BEL;NL;;Sint-Pieters-Leeuw;;;Vlaams Gewest;R?gion flamande;;Vlaams-Brabant;Brabant flamand (le);;Halle-Vilvoorde;Hal-Vilvorde;;Sint-Pieters-Leeuw;
1601;0;23077E;2000;20001;23000;23077;BEL;NL;;Ruisbroek;;;Vlaams Gewest;R?gion flamande;;Vlaams-Brabant;Brabant flamand (le);;Halle-Vilvoorde;Hal-Vilvorde;;Sint-Pieters-Leeuw;
1602;0;23077D;2000;20001;23000;23077;BEL;NL;;Vlezenbeek;;;Vlaams Gewest;R?gion flamande;;Vlaams-Brabant;Brabant flamand (le);;Halle-Vilvoorde;Hal-Vilvorde;;Sint-Pieters-Leeuw;
1620;0;23098A;2000;20001;23000;23098;BEL;NL-fr;;Drogenbos;;;Vlaams Gewest;R?gion flamande;;Vlaams-Brabant;Brabant flamand (le);;Halle-Vilvoorde;Hal-Vilvorde;;Drogenbos;Drogenbos
