municipality_upper,median_income,,coord,municipality
"AUBEL","28.358","","50.7007 5.8514","Aubel"
"BAELEN","28.182","","50.585 6.037","Baelen"
"BULLANGE","28.221","","50.403 6.3115","Büllingen"
"BUTGENBACH","27.968","","50.458 6.195","Bütgenbach"
"DISON","22.000","","50.6155 5.876","Dison"
"EUPEN","25.981","","50.6105 6.0635","Eupen"
"HERVE","28.696","","50.6487 5.7962","Herve"
"JALHAY","30.499","","50.5309 5.9664","Jalhay"
"LA CALAMINE","25.715","","50.7176 6.0234","Kelmis"
"LIERNEUX","28.503","","50.3077 5.7857","Lierneux"
"LIMBOURG","27.587","","50.6113 5.9374","Limburg"
"LONTZEN","28.322","","50.677 6.014","Lontzen"
"MALMEDY","27.116","","50.4315 6.0416","Malmedy"
"OLNE","30.516","","50.587 5.716","Olne"
"PEPINSTER","26.779","","50.5722 5.7969","Pepinster"
"RAEREN","28.877","","50.6646 6.1264","Raeren"
"SAINT-VITH","30.037","","50.2915 6.0405","Sankt Vith"
"SPA","25.354","","50.472 5.867","Spa"
"STAVELOT","27.533","","50.4165 5.9581","Stavelot"
"STOUMONT","28.812","","50.4082 5.7985","Stoumont"
"THEUX","29.184","","50.501 5.806","Theux"
"VERVIERS","22.871","","50.585 5.8668","Verviers"
"WAIMES","27.786","","50.4624 6.1248","Weismes"
"WELKENRAEDT","27.388","","50.663 5.921","Welkenraedt"
"TROIS-PONTS","27.254","","50.3555 5.9375","Trois-Ponts"
"BURG-REULAND","32.455","","50.2035 6.0929","Burg-Reuland"
